Actual,Predicted,CustomerId,Gender,Age,Geography,Tenure,CreditScore,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited (Actual),Exited (Predicted)
1,0,15634602,0,42,0,2,619,0.0,1,1,1,101348.88,Churn,Retain
0,1,15647311,0,41,2,1,608,83807.86,1,0,1,112542.58,Retain,Churn
1,1,15619304,0,42,0,8,502,159660.8,3,1,0,113931.57,Churn,Churn
0,0,15701354,0,39,0,1,699,0.0,2,0,0,93826.63,Retain,Retain
0,1,15737888,0,43,2,2,850,125510.82,1,1,1,79084.1,Retain,Churn
1,1,15574012,1,44,2,8,645,113755.78,2,1,0,149756.71,Churn,Churn
0,0,15592531,1,50,0,7,822,0.0,2,1,1,10062.8,Retain,Retain
1,1,15656148,0,29,1,4,376,115046.74,4,1,0,119346.88,Churn,Churn
0,1,15792365,1,44,0,4,501,142051.07,2,0,1,74940.5,Retain,Churn
0,1,15592389,1,27,0,2,684,134603.88,1,1,1,71725.73,Retain,Churn
0,0,15767821,1,31,0,6,528,102016.72,2,0,0,80181.12,Retain,Retain
0,0,15737173,1,24,2,3,497,0.0,2,1,0,76390.01,Retain,Retain
0,0,15632264,0,34,0,10,476,0.0,2,1,0,26260.98,Retain,Retain
0,0,15691483,0,25,0,5,549,0.0,2,0,0,190857.79,Retain,Retain
0,0,15600882,0,35,2,7,635,0.0,2,1,1,65951.65,Retain,Retain
0,1,15643966,1,45,1,3,616,143129.41,2,0,1,64327.26,Retain,Churn
1,1,15737452,1,58,1,1,653,132602.88,1,1,0,5097.67,Churn,Churn
0,0,15788218,0,24,2,9,549,0.0,2,1,1,14406.41,Retain,Retain
0,1,15661507,1,45,2,6,587,0.0,1,0,0,158684.81,Retain,Churn
0,0,15568982,0,24,0,6,726,0.0,2,1,1,54724.03,Retain,Retain
0,0,15577657,1,41,0,8,732,0.0,2,1,1,170886.17,Retain,Retain
0,0,15597945,0,32,2,8,636,0.0,2,1,0,138555.46,Retain,Retain
1,0,15699309,0,38,2,4,510,0.0,1,1,0,118913.53,Churn,Retain
0,0,15725737,1,46,0,3,669,0.0,2,0,1,8487.75,Retain,Retain
